FS04B ,  40.2447, -124.5097,  -159.0, OBS , LDEO, 1,  231.1,  8.28, gor, 2,  6.00, 619.56
FS05B ,  40.3866, -124.8996, -2316.0, OBS , WHOI, 0,  198.8,  7.85, gor, 2,  6.00, 633.42
FS06B ,  40.3812, -124.7853, -2198.0, OBS , WHOI, 0,  207.2,  7.91, gor, 2,  6.00, 626.66
FS06D ,  40.3700, -124.8067, -1946.8, OBS ,     , 0,  206.0,  7.92, gor, 4,  6.00, 628.78
FS07B ,  40.3392, -124.6596, -1297.0, OBS , LDEO, 0,  217.5,  8.04, gor, 2,  6.00, 622.22
FS07D ,  40.3379, -124.6577, -1273.7, OBS ,     , 0,  217.7,  8.04, gor, 4,  6.00, 622.18
FS08B ,  40.3366, -124.4598,  -120.0, OBS , LDEO, 1,  232.1,  8.13, gor, 2,  6.00, 613.68
FS09B ,  40.4387, -124.8085, -2161.0, OBS , WHOI, 0,  203.9,  7.79, gor, 2,  6.00, 623.92
FS09D ,  40.4377, -124.8037, -2122.1, OBS ,     , 0,  204.2,  7.80, gor, 4,  6.00, 623.69
FS10B ,  40.4330, -124.6819, -1076.0, OBS , LDEO, 0,  213.2,  7.86, gor, 2,  6.00, 617.72
FS10D ,  40.4328, -124.6940, -1153.8, OBS ,     , 0,  212.3,  7.85, gor, 4,  6.00, 618.26
FS11B ,  40.4292, -124.5778,  -132.0, OBS , LDEO, 1,  220.9,  7.90, gor, 2,  6.00, 613.12
FS12B ,  40.4371, -124.5059,   -60.0, OBS , LDEO, 1,  225.8,  7.92, gor, 2,  6.00, 611.23
FS13B ,  40.4931, -124.8065, -2332.0, OBS , LDEO, 0,  202.4,  7.69, gor, 2,  6.00, 619.91
FS13D ,  40.4937, -124.8034, -2291.2, OBS ,     , 0,  202.6,  7.69, gor, 4,  6.00, 619.67
FS14B ,  40.4955, -124.5918,  -107.0, OBS ,  SIO, 0,  217.9,  7.77, gor, 2,  6.00, 609.56
FS15B ,  40.4926, -124.5126,   -52.0, OBS , LDEO, 1,  223.8,  7.81, gor, 2,  6.00, 608.53
FS16B ,  40.5381, -124.7395, -1073.0, OBS , LDEO, 0,  206.0,  7.63, gor, 2,  6.00, 612.81
FS16D ,  40.5378, -124.7468, -1080.4, OBS ,     , 0,  205.5,  7.63, gor, 4,  6.00, 613.14
FS17B ,  40.5598, -124.5965,  -146.0, OBS , LDEO, 1,  215.7,  7.65, gor, 2,  6.00, 605.80
FS18B ,  40.5682, -124.5016,  -107.0, OBS , LDEO, 1,  222.4,  7.67, gor, 2,  6.00, 603.87
FS19B ,  40.6279, -124.4667,   -87.0, OBS , LDEO, 1,  223.2,  7.64, gor, 2,  6.00, 601.03
FS20B ,  40.3895, -125.0311, -2378.0, OBS , LDEO, 0,  189.1,  7.80, gor, 2,  6.00, 642.59
FS41D ,  40.6124, -124.7310, -1079.3, OBS ,     , 0,  204.5,  7.50, gor, 4,  6.00, 607.24
G01D  ,  39.9999, -124.6008, -1006.7, OBS ,     , 0,  231.5,  8.70, gor, 4,  6.00, 634.36
G02B  ,  40.0486, -125.2969, -1920.0, OBS ,  SIO, 0,  179.7,  8.51, gor, 2,  6.00, 693.98
G03A_O,  40.0591, -126.1625, -4113.0, OBS , WHOI, 0,  116.6,  8.40, gor, 1,  6.00, 798.93
G03B  ,  40.0580, -126.1634, -4051.0, OBS , WHOI, 0,  116.6,  8.41, gor, 2,  6.00, 798.95
G03D_O,  40.0587, -126.1612, -4056.5, OBS ,     , 0,  116.7,  8.40, gor, 0,  6.00, 798.82
G04B  ,  40.0585, -126.9285, -4368.0, OBS , WHOI, 0,   61.1,  8.12, gor, 2,  6.00, 780.26
G04D  ,  40.1577, -126.7847, -4350.3, OBS ,     , 0,   68.7,  7.95, gor, 4,  6.00, 710.95
G05B  ,  40.0706, -127.7478, -4462.0, OBS , WHOI, 0,    1.4,  7.82, gor, 2,  6.00, 447.08
G05D_O,  40.1430, -127.8257, -4463.8, OBS ,     , 0,   -6.4,  7.72, gor, 0,  6.00, 424.56
G09B  ,  40.6568, -124.7187,  -842.0, OBS , LDEO, 1,  204.1,  7.45, gor, 2,  6.00, 603.90
G09D  ,  40.6665, -124.7269,  -716.3, OBS ,     , 0,  203.2,  7.44, gor, 4,  6.00, 603.41
G10B  ,  40.6779, -125.5533, -2936.0, OBS ,  SIO, 0,  143.0,  6.97, gor, 2,  6.00, 654.52
G11B  ,  40.6875, -126.3764, -3123.0, OBS , WHOI, 0,   83.0,  5.51, gor, 2,  6.00, 206.12
G12B  ,  40.6869, -127.2289, -3080.0, OBS ,  SIO, 0,   21.2,  2.47, gor, 2,  6.00, 404.48
G13B  ,  40.6840, -128.0283, -3215.0, OBS , WHOI, 0,  -36.6,  2.33, gor, 2,  6.00, 93.24
G13D  ,  40.7482, -127.9371, -3186.5, OBS ,     , 0,  -31.9,  2.06, gor, 4,  6.00, 63.27
G17B  ,  41.2839, -124.3446,  -123.0, OBS , LDEO, 0,  213.2,  7.83, gor, 2,  6.00, -999.00
G18B  ,  41.3016, -124.9363, -1464.0, OBS , LDEO, 0,  169.8,  7.16, gor, 2,  6.00, 554.10
G19B  ,  41.3074, -125.7736, -3071.0, OBS , WHOI, 0,  108.9,  4.75, gor, 2,  6.00, 381.14
G20B  ,  41.2987, -126.6133, -3141.0, OBS , WHOI, 0,   48.3,  3.26, gor, 2,  6.00, 158.88
G20D  ,  41.4516, -126.8638, -2931.3, OBS ,     , 0,   25.7,  2.17, gor, 4,  6.00, 118.17
G21B  ,  41.3160, -127.4537, -3156.0, OBS , WHOI, 0,  -13.2,  0.18, gor, 2,  6.00, 21.05
G21D  ,  41.1227, -127.4480, -3293.4, OBS ,     , 0,   -7.2,  0.15, gor, 4,  6.00, 73.28
